iso_alpha;État ou territoire;1990;1995;2000;2005;2010;2015
AFG;Afghanistan;;21.5;27.07;37.28;50.05;62.98
ZAF;Afrique du Sud;82.8;84;76.98;79.74;82.33;84.7
ALB;Albanie;;95.7;87.58;87.9;88.09;91.39
DZA;Algérie;91.5;91.2;89.84;91.18;92.39;93.47
DEU;Allemagne;100;100;100;100;100;100
 AND;Andorre;100;100;100;100;100;100
AGO;Angola;45.7;46.1;37.77;39.02;40.06;41.01
ATG;Antigua-et-Barbuda;97.4;97.6;98.25;97.67;97.09;96.74
SAU;Arabie saoudite;92;93.3;96.81;97.76;99.36;99.99
ARG;Argentine;93.8;95.1;99.01;99.24;99.44;99.63
ARM;Arménie;;90.5;95.87;96.75;97.64;98.92
ABW;Aruba (Pays-Bas);91;92.6;94.49;95.9;97.31;97.87
AUS;Australie;100;100;99.74;99.8;99.89;99.97
AUT;Autriche;100;100;100;100;100;100
AZE;Azerbaïdjan;69.1;70.2;76.44;79.14;81.78;84.38
BHS;Bahamas;;96.3;98.38;98.14;97.89;97.79
BHR;Bahreïn;94.9;96;99.9;99.95;100;100
BGD;Bangladesh;68.1;72.1;94.65;95.6;96.5;97.33
BRB;Barbade;96.1;96.9;98.54;98.4;98.25;98.13
BEL;Belgique;100;100;100;100;100;100
BLZ;Belize;72.9;79;87.57;90.73;93.92;97.13
BEN;Bénin;57.1;61.7;60.06;62.44;64.76;67.02
BMU;Bermudes (Royaume-Uni);;;99.99;99.96;99.92;99.9
BTN;Bhoutan;72;76.9;80.97;87.78;93.62;97.56
BLR;Biélorussie;99.5;99.5;97.9;97.91;97.95;98.01
BOL;Bolivie;68.2;73.9;78.82;83.87;88.56;92.88
BIH;Bosnie-Herzégovine;97.1;97.1;96.4;96.72;97.28;97.66
BWA;Botswana;92.2;93.7;76.87;77.85;78.56;79.17
BRA;Brésil;88.5;91.1;93.71;95.06;96.26;97.5
BRN;Brunei;;;;;99.5;99.51
BGR;Bulgarie;99.9;99.8;99.74;99.66;99.43;99.26
BFA;Burkina Faso;43.6;50.7;46.71;48.8;51.29;53.86
BDI;Burundi;68.8;70.3;52.44;53.58;54.79;55.93
KHM;Cambodge;23.4;30.3;52.4;59.9;67.4;74.97
CMR;Cameroun;51.3;56.5;55.3;58.74;62.08;65.28
CAN;Canada;99.8;99.8;99.9;99.9;99.4;98.9
CPV;Cap-Vert;;79.9;77.9;79.89;83.51;86.46
CAF;Centrafrique;58.8;60.2;52.09;52.76;53.54;54.14
CHL;Chili;90.4;92.7;95.26;97.29;99.02;100
CHN;Chine;66.9;73.9;77.5;84.3;90.85;95.82
CAP;Chypre;100;100;100;100;100;100
COL;Colombie;88.4;89.2;90.04;92.39;94.59;96.52
